original_index,text,product_title,price,rating,content_hash,info_complete,is_actionable,complaint_category,resolution_recommendation,quality_status,model_id
10451,"These have fallen apart in less than 2 months, seriously horrible quality.",NELEUS Women's 3 Pack Compression Base Layer Dry Fit Tank Top,21.96,2.0,93878ac035da665ce163e0b0bc0b6653356cd39fc201685b00afab0fe9f47e3f,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
19384,So flat like an ass,Jeanewpole1 Womens Down Puffer Short Jacket Quilted Lightweight Coats Outerwear,54.99,1.0,b237dd889138a2aa562f213773ce9ea5b7dd537d77f22c63887fd9f995b6cd94,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
35367,"The description says the dress has ""some stretch"" but the dress has zero stretch. It has a rayon look and feel.",LILBETTER Women V-Neck Polka Dot Print Spaghetti Strap Boho Long Maxi Dresses,35.99,2.0,324dfb65420f74102d99da67f6706693023fdedb1a36cf39e35bfafb15a50e19,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
20883,"Way too large, material also stretches out. Order DOWN!",U.S. Polo Assn. Womens Jogger Lounge Pants  Pajama Pants for Women,14.95,2.0,e56bc8c951856128bcf5f4a121059597c2948d08f5b36af7dcc635f7a093a63e,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
954,If you're looking for harem pants these will be right up your alley. I personally did not like how short they were. And they also got a hole in them the second time after wearing them.,WearAll Womens Plus Size Cropped Harem Trousers - Mocha - US 20-22 (UK 24-26),17.25,2.0,ae21ab0cda63cb521a107af8015a4ffd0e4c31cdda917085a750d695ccc0b29b,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
15883,These are one sided so they are lacking especially when they turn around.,"Pierced Owl 14GA 316L Surgical Steel Tulip Flower Nipple Barbells, Sold as a Pair",10.49,2.0,7e327265edd283a8653951299123e83fbd6d99ad3e7dde726960faf96ffe67ab,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
57442,The frames were already bent when taken out of the package.,Womens Elegant Rimless Shield Warp Luxury Designer Sunglasses,12.95,1.0,a27e1bfb7fd38b213a8107ae40a593524b7ae39c75c3e12b71f4dd892a40d17a,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
50614,The only thing that saw the same as what was pictured was the colors! The fabric for the top was thin and flimsy and the cake bottom did not hold it's shape. The cake did not stay tiered and hung like an ugly skirt. I am planning on returning it because I will not wear it.,Adult Sexy Birthday Cake Costume (Size: Standard 6-10),49.99,1.0,2850178456ae601acbdf03a786440a14f6775e8aec56c33cfc9fbeadc894179f,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
4960,Is marked as a XL but it's more like an XXL,"Russell Athletic Men's Dri-Power Fleece Hoodies & Sweatshirts, Moisture Wicking, Cotton Blend, Relaxed Fit, Sizes S-4X",31.24,2.0,d222ee2887e530604281db3171dc8f05e76b919bf6ad7dcf2a99e611c94c4ff4,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
17352,"Disappointing, very small demut color. Return for credit. A 82 year old will not be able to read the print","NEONBLOND Pin 82 Years! Aged to Perfection, Happy Birthday",13.99,1.0,f1a75e1480561006c79803a575fb2a5207c6ff49931ea20d99697a13ac8ce997,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
59471,[[VIDEOID:e20db27c4af117eab484feee4c7b35fa]] Garbage,Angel Wings and Halo Angel Wings Costume for Kids Adult Halloween Christmas (Black),13.99,1.0,b9fc111f4c62766f860f5503737de23753ed9b1da57719f71df48abc7f3be824,0,0,N/A,N/A,PROCESSED,gemini-2.5-pro
58625,"I ordered the size I always wear, too small!","Rothco Mens Digital Camouflage T-Shirt, Midnight Blue Digital Camo, 3X-Large",16.99,1.0,0f831dab094df3187c053798ba4e3a949362e74ca84edec6e9b913d15a53044d,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
62244,"I loved the size, the light weight but unfortunately the leather began to brake apart after 4 days of receiving the purse. See pics","VASCHY Backpack Purse for Women, Fashion Square Small Mini Convertible PU Leather Backpack Shoulder Bag for Ladies Teen Girls",29.99,1.0,768038abf473a355d63052afa2aa4c198d449b684639c61dc8506390d395dbf4,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
40379,Awful sunglasses.  Broke on my face the second day I wore them.,X Loop Mens Wrap Running Triathalon Golf Sports Baseball Sunglasses xl875 (Gunmetal w Silver),5.95,1.0,f69aa7b8e59d6ab268d76b018d27ca4367e137bfa12ac0625739cb0002b9d931,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
58774,"Good detail, heavy and very small. Barely fit my childs face.",Japanese Halloween Mask Resin Mask Half Face Skull Scary Mask Cosplay Decorative,12.99,1.0,802f543e63537e340e2aa38bcd247a2dcc83de621a70c4dfb17cf25692b36a30,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
56102,Its widened at the bottom instead of tight,90 Degree By Reflex High Waist Squat Proof Tummy Control Power Flex Yoga Capris with Side Pockets,18.99,2.0,07a55767c98bf0dbd274ef176e83d3243ea7613c7ec759287a1a6fd74c66b452,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
35222,"Not happy with this purchase at all. The stone was mostly gray, with a little blue at the top. The wire wrap was somewhat tarnished, and the bale was bent. Will be returning for a refund.",AYANA Raw Sodalite Healing Crystal Pendant Necklace - Royal Blue | Third Eye Chakra | Stone of Intuition and Wisdom | November Birthstone | Handmade with Ethically Sourced Raw Natural Pure Gemstone,19.0,1.0,07421e9c4d151cc3b401630e53dcd2d0ed8c6598b9ee007fa2ff64bef35b0453,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
15821,"The pair I received were extremely tight on my leg. Like leaving marks tight. I don't have super skinny legs, but my legs aren't fat either, I'd say I'm fairly average. There just wasn't much stretch to them. They were over the knee, but unless you have thin, skinny legs, I wouldn't recommend. I had to return mine. It's almost like they are for a child, but the foot size is correct (I'm a size 8 in shoes), so maybe these are good for like pre-teens and teenagers.",OULII womens Fashion,10.06,2.0,f03d849fdf8fe6daf0bdf18a7c4071b594e28fd64bc5d862355875b22f511387,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
38214,"The picture says it all...this item is painted, and the paint isn't durable at all. It's already wearing off.<br /><br />The shape and feel of the ring is very nice, but unfortunately, the durability of the paint is not. It's going back.",Idakekiy Key Chain Zinc Alloy with 2 Key Rings Premium Car Business keychain for Men and Women,8.99,1.0,ecd4bd0c6f09c46c43f60754dafeaa521c8ec8ad8f0a7aa75579bc394baf268f,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
40977,Well the skull was kinda melted together its peeling already and it's just a mess.. I feel like I really waisted my money,Starline Women's Punishing One Costume,45.86,2.0,efeca2e1271409d3de7d724d472043ff14a3a1e693f66c21ec3a3765320859ec,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
24104,Very cheaply made,Mansy Women's Embroidery Mexican Bohemian Shirt Short Sleeve Ruffled Peasant Tops Tunic Blouses,32.99,2.0,f6a1ed7579cd132f15e8b44e98651d4898c84e7dcaf572bf2ab66fa688d3e683,0,0,N/A,N/A,PROCESSED,gemini-2.5-pro
23719,At first the worn look on the decorative end was fine but to see it on the teeth of the key is not ok. Poorly crafted jewelry!,Pierced Owl Antique Victorian Heart Key with Inset Synthetic Opal Industrial Barbell,10.49,1.0,a4b407f59602d85b69c71eeafe2068bd9c280adf5728119641e1078afa7ced3a,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
44136,Came broken in the package and was really cheap and bendable !!!,Kuyiuif Small Thin Flower Clear Crystal Nose Ring Stud Hoop-Sparkly Crystal Nose Ring,7.98,1.0,9c50f4c8a3f29528555f37d6cc0bf925801875b409add949bc789d64e4b81131,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
44453,They look great. Are slimming and everything you'd want in a layering tank BUT within 1 wrar the lace will be seperating from the bottom of the tank. Very dissapointed.,3 Pcs Women Long Camisoles Lace Tank Tops Neck Cami Adjustable Spaghetti Strap Lace Trim Tank Top for Women Wearing,21.99,1.0,8d8cf68b20b315cea095be7d447adad3db45bc84344db00c6d2493469bd7c14c,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
12112,Se parten muy fácil.  Mala calidad,3 Small Female Ring Guards 14k White Gold Filled Ring Spacers Fitter Sizer,12.99,1.0,9d5622f35ad904e13ecbb797f4e14f08d45e1e3ddd0d224c21aca8fcdf1d8a9e,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
54543,"Too tight, cannot possibly get them on over my swollen ankle.",SB SOX Lite Compression Socks (15-20mmHg) for Men & Women  Best Socks for All Day Wear!,10.95,1.0,b31b53092ad4e8ab38d72c7ef121eb94c728d0878707031c89d63dccfca65ac9,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
34796,Too expensive for a flimsy piece of cloth,Silky Durag  (Multiple Designs) | 360 Waves,15.99,1.0,90ae7b8571105e1b96640dad6f9168003900fc93f7ef035ec74a2aa5bd7c39f7,0,0,N/A,N/A,PROCESSED,gemini-2.5-pro
5651,We didn't think it was even worth it to send it back. The size of the head phones for a baby/toddler are un reasonable and way to small... we were so disappointed. !,HEARTEK Noise Cancelling Headphones Kids Adult Earmuffs Shooting Ear Protection,19.17,1.0,8f6ed08cd57cd08fbd21c89f4d1c7be14c918e5fc98271089aaaa8dfe0837720,1,1,Incorrect Size / Fit,Full Refund,PROCESSED,gemini-2.5-pro
49831,"I was so disappointed after 2 weeks of wearing it. I did not shower or get it wet, but it turned such a horrible color.",Grenf Fashion 2016 Various Friend Birthday Gift Best Friend Forever Circular Shaped Cheese Stitching Necklace Into 8 Pcs Pizza Pendant for Besties and Friends (Gold(1 Piece)),2.08,1.0,92986d3b3af733dc42c2ccd080616e5f29e5a893ef6a40fffa81d98fe1a787ea,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
12985,"These are constructed such that if your hands are wet (common for my wet winter outdoor activities) when you take the gloves off, the inner fingers get pulled inside out and then they are impossible to get back on with wet cold fingers.  Useless for my winter activities.  Probably fine for walking or driving but not safe for outdoor adventuring.  Many gloves suffer from this problem including these.",IGLOOSBUILT Men's Insulated Waterproof Fleece Gloves,14.99,1.0,fbccfa2c988e38253522b35e8640bc996aa04d5bf3f4724c994a21caf66c0bb2,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
41408,"Very cheap watch. Looks good in pictures and at first glance, but the more you look the cheaper it appears. Very cheap manufacturing, and it shows once you try to resize it. It even feels flimsy. The links were clearly machined down after they were pinned together so that they could save money instead of making nicer parts that actually fit together well. I have the tools to resize and work on watches, and I work on my own (as well as others) mediocre and nicer watches. There is a clear difference now that this has been my experience with a really low end watch. My girlfriend thinks it looks cute though since its her first watch. I will likely spend the money on a mediocre improvement for her in the near future (something like an Invicta thats a bit nicer and easier to work with).",Womens Watch Rose Gold Ladies Water-Resistant Stainless Steel Wrist Watch Women Dress Watch Fashion Party Quartz Wrist Watches,25.99,1.0,afb83e53d3fdfce7c857b47ee1f31ebe2c24ca7926ec92ff33e3e43d8a3324a5,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
